path,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,lentes_claros,lentes_oscuros,iluminacion_indadecuada,cara_cubierta,head pose,sombrero
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7174_0_0.jpg,157.0,162.0,249.0,151.0,207.0,228.0,189.0,270.0,239.0,265.0,0,0,1,1,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7097_0_0.jpg,143.0,160.0,232.0,147.0,183.0,213.0,168.0,256.0,232.0,247.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7212_3_0.jpg,154.0,151.0,246.0,151.0,194.0,216.0,153.0,242.0,247.0,242.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7177_0_0.jpg,167.0,151.0,238.0,159.0,214.0,219.0,146.0,238.0,223.0,247.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7098_0_0.jpg,158.0,143.0,261.0,152.0,208.0,225.0,156.0,261.0,231.0,268.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7078_0_0.jpg,156.0,161.0,249.0,155.0,205.0,215.0,159.0,262.0,262.0,251.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7062_0_0.jpg,150.0,159.0,242.0,149.0,212.0,215.0,166.0,250.0,250.0,241.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7057_0_0.jpg,156.0,163.0,266.0,155.0,217.0,232.0,165.0,247.0,256.0,240.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7017_0_0.jpg,166.0,152.0,257.0,150.0,220.0,205.0,172.0,258.0,255.0,254.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7069_0_0.jpg,153.0,149.0,230.0,155.0,165.0,217.0,148.0,263.0,213.0,269.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7048_0_0.jpg,154.0,141.0,254.0,148.0,188.0,209.0,153.0,248.0,233.0,254.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6989_0_0.jpg,148.0,147.0,241.0,150.0,196.0,208.0,159.0,250.0,232.0,249.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7154_1_0.jpg,152.0,146.0,240.0,142.0,189.0,191.0,157.0,241.0,238.0,239.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7049_0_0.jpg,152.0,139.0,265.0,154.0,202.0,224.0,136.0,246.0,236.0,260.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7163_0_0.jpg,147.0,151.0,244.0,141.0,192.0,214.0,157.0,249.0,262.0,235.0,0,0,0,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7076_0_0.jpg,150.0,123.0,261.0,134.0,195.0,212.0,149.0,231.0,240.0,242.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7198_0_0.jpg,133.0,154.0,224.0,134.0,181.0,206.0,164.0,256.0,240.0,240.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7189_0_0.jpg,158.0,160.0,251.0,151.0,215.0,220.0,163.0,249.0,247.0,243.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7185_0_0.jpg,153.0,152.0,247.0,158.0,194.0,208.0,150.0,246.0,230.0,250.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7183_0_0.jpg,140.0,157.0,226.0,151.0,183.0,210.0,153.0,243.0,241.0,236.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7170_0_0.jpg,133.0,157.0,221.0,145.0,147.0,206.0,147.0,257.0,216.0,251.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7157_0_0.jpg,155.0,139.0,258.0,146.0,199.0,197.0,155.0,258.0,230.0,263.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7150_0_0.jpg,145.0,158.0,238.0,151.0,184.0,211.0,151.0,256.0,249.0,250.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7144_0_0.jpg,149.0,149.0,250.0,151.0,200.0,207.0,150.0,240.0,243.0,244.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7127_0_0.jpg,165.0,146.0,250.0,144.0,214.0,187.0,174.0,226.0,245.0,225.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7323_0_0.jpg,147.0,157.0,244.0,144.0,194.0,201.0,164.0,251.0,249.0,241.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7114_0_0.jpg,150.0,143.0,239.0,130.0,223.0,191.0,183.0,273.0,244.0,258.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7104_0_0.jpg,145.0,151.0,217.0,152.0,148.0,223.0,163.0,256.0,216.0,263.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7099_0_0.jpg,149.0,158.0,235.0,138.0,179.0,214.0,175.0,256.0,250.0,244.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7092_0_0.jpg,151.0,161.0,249.0,172.0,187.0,189.0,137.0,251.0,239.0,262.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7082_0_0.jpg,149.0,165.0,249.0,158.0,206.0,182.0,172.0,270.0,247.0,262.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7079_0_0.jpg,133.0,158.0,238.0,140.0,211.0,216.0,159.0,266.0,253.0,246.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7068_0_0.jpg,146.0,140.0,250.0,149.0,203.0,215.0,147.0,254.0,215.0,262.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7067_0_0.jpg,145.0,165.0,217.0,151.0,148.0,204.0,158.0,263.0,216.0,255.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7065_0_0.jpg,160.0,143.0,266.0,158.0,193.0,216.0,152.0,259.0,231.0,269.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7063_0_0.jpg,148.0,143.0,253.0,145.0,198.0,213.0,157.0,271.0,236.0,270.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7059_0_0.jpg,140.0,152.0,258.0,141.0,202.0,249.0,164.0,267.0,254.0,258.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7058_0_0.jpg,149.0,155.0,247.0,148.0,207.0,220.0,173.0,266.0,241.0,261.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7044_0_0.jpg,151.0,144.0,250.0,136.0,213.0,217.0,162.0,256.0,242.0,249.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7039_0_0.jpg,145.0,144.0,226.0,147.0,163.0,203.0,153.0,255.0,212.0,258.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7020_0_0.jpg,155.0,134.0,261.0,135.0,203.0,195.0,157.0,226.0,263.0,227.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6986_0_0.jpg,179.0,153.0,255.0,141.0,247.0,209.0,189.0,243.0,253.0,232.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6977_0_0.jpg,163.0,149.0,258.0,152.0,193.0,195.0,162.0,260.0,237.0,263.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6973_0_0.jpg,154.0,145.0,241.0,145.0,207.0,196.0,150.0,233.0,243.0,233.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7302_0_0.jpg,166.0,139.0,263.0,161.0,200.0,204.0,161.0,248.0,228.0,264.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7300_0_0.jpg,145.0,160.0,245.0,135.0,216.0,212.0,177.0,270.0,254.0,252.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7299_0_0.jpg,149.0,154.0,233.0,146.0,176.0,214.0,154.0,250.0,233.0,249.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7294_0_0.jpg,165.0,143.0,264.0,164.0,222.0,224.0,152.0,261.0,221.0,276.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7291_0_0.jpg,160.0,154.0,254.0,153.0,205.0,212.0,170.0,256.0,239.0,253.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7199_0_0.jpg,149.0,145.0,240.0,140.0,163.0,216.0,159.0,255.0,232.0,255.0,1,0,1,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7179_0_0.jpg,132.0,166.0,221.0,140.0,167.0,230.0,169.0,272.0,246.0,254.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7174_1_0.jpg,150.0,164.0,241.0,158.0,199.0,223.0,166.0,260.0,254.0,251.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7173_0_0.jpg,152.0,150.0,243.0,147.0,208.0,202.0,158.0,261.0,236.0,259.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7171_0_0.jpg,163.0,148.0,242.0,150.0,199.0,190.0,174.0,233.0,228.0,232.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7165_0_0.jpg,185.0,147.0,259.0,162.0,243.0,213.0,182.0,254.0,234.0,266.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7162_0_0.jpg,162.0,150.0,253.0,150.0,201.0,207.0,167.0,256.0,252.0,259.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7152_0_0.jpg,157.0,146.0,255.0,142.0,207.0,221.0,162.0,251.0,254.0,257.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7145_0_0.jpg,145.0,149.0,238.0,141.0,188.0,211.0,151.0,262.0,246.0,251.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7136_0_0.jpg,163.0,149.0,249.0,144.0,199.0,196.0,175.0,241.0,245.0,238.0,0,0,0,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7116_0_0.jpg,147.0,137.0,253.0,146.0,210.0,190.0,140.0,238.0,248.0,245.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7105_0_0.jpg,152.0,148.0,257.0,148.0,191.0,194.0,142.0,248.0,248.0,251.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7102_0_0.jpg,146.0,139.0,244.0,138.0,195.0,202.0,161.0,242.0,232.0,241.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7090_0_0.jpg,166.0,153.0,259.0,171.0,208.0,199.0,161.0,237.0,233.0,252.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7084_0_0.jpg,160.0,140.0,257.0,144.0,193.0,230.0,159.0,238.0,256.0,243.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7083_0_0.jpg,147.0,158.0,249.0,151.0,205.0,199.0,165.0,255.0,249.0,249.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7055_0_0.jpg,136.0,162.0,234.0,150.0,186.0,201.0,145.0,245.0,245.0,233.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7052_0_0.jpg,169.0,148.0,258.0,156.0,223.0,201.0,163.0,237.0,243.0,244.0,0,0,1,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7051_0_0.jpg,168.0,154.0,263.0,132.0,241.0,213.0,193.0,265.0,263.0,247.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7047_0_0.jpg,139.0,137.0,240.0,157.0,186.0,228.0,124.0,254.0,192.0,271.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7046_0_0.jpg,148.0,154.0,236.0,146.0,208.0,211.0,158.0,241.0,238.0,235.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7043_0_0.jpg,148.0,149.0,233.0,152.0,174.0,219.0,159.0,241.0,244.0,243.0,0,0,1,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7040_0_0.jpg,161.0,146.0,250.0,157.0,220.0,211.0,170.0,254.0,232.0,260.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7034_0_0.jpg,165.0,147.0,253.0,143.0,240.0,184.0,193.0,247.0,256.0,242.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7031_0_0.jpg,147.0,155.0,226.0,153.0,155.0,203.0,154.0,252.0,211.0,255.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7025_0_0.jpg,159.0,138.0,253.0,137.0,201.0,193.0,158.0,224.0,254.0,224.0,0,0,1,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7021_0_0.jpg,136.0,158.0,213.0,149.0,155.0,210.0,155.0,255.0,226.0,248.0,0,0,1,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7011_0_0.jpg,170.0,145.0,255.0,171.0,208.0,213.0,145.0,244.0,219.0,266.0,0,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7005_0_0.jpg,154.0,149.0,244.0,140.0,203.0,195.0,170.0,247.0,246.0,238.0,0,0,1,0,0.0,1
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7004_0_0.jpg,138.0,151.0,234.0,148.0,155.0,202.0,143.0,263.0,215.0,260.0,1,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\7000_0_0.jpg,142.0,152.0,228.0,148.0,161.0,211.0,147.0,257.0,220.0,261.0,0,0,0,0,1.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6998_0_0.jpg,149.0,158.0,246.0,139.0,200.0,201.0,178.0,256.0,258.0,237.0,1,0,0,0,0.0,0
C:\Users\isaac\PycharmProjects\tensorflow_filter\dataset_pictures\6996_0_0.jpg,143.0,132.0,256.0,131.0,197.0,193.0,143.0,231.0,260.0,230.0,0,0,0,0,0.0,0
